Latitude,Longitude,region,river_distance
13.7,78.2,train,304473.1567
13.7,78.3,train,345022.0416
13.7,78.4,train,363323.4841
13.8,75,train,140363.6489
13.8,75.1,train,405122.0289
13.8,75.2,train,205505.9981
13.8,75.3,train,144563.316
13.8,75.4,train,153931.0956
13.8,75.5,train,205675.8358
13.8,75.6,train,155902.9234
13.8,75.7,train,217229.5646
13.8,75.8,train,229606.3058
13.8,75.9,train,185580.3436
13.8,76,train,242965.6254
13.8,76.1,train,192362.9796
13.8,76.2,train,184784.3055
13.8,76.3,train,196941.0805
13.8,76.4,train,170524.8759
13.8,76.5,train,150583.493
13.8,76.6,train,197468.1731
13.8,76.7,train,121614.028
13.8,76.8,train,189680.5329
13.8,76.9,train,162312.5546
13.8,77,train,114735.469
13.8,77.1,train,107841.4625
13.8,77.2,train,147639.8639
13.8,77.3,train,300167.4604
13.8,77.4,train,286714.4639
13.8,77.5,train,103052.6782
13.8,77.6,train,299660.0165
13.8,77.7,train,263067.6004
13.8,77.8,train,327859.7419
13.8,77.9,train,98724.3606
13.8,78,train,99808.95921
13.8,78.1,train,324692.3175
13.8,78.2,train,224052.922
13.8,78.3,train,350483.9054
13.8,78.4,train,349843.2339
13.9,75,train,284190.7992
13.9,75.1,train,243073.4644
13.9,75.2,train,256118.3848
13.9,75.3,train,137770.6107
13.9,75.4,train,72314.25656
13.9,75.5,train,113282.3494
13.9,75.6,train,206803.7475
13.9,75.7,train,213300.0143
13.9,75.8,train,252129.478
13.9,75.9,train,177592.0007
13.9,76,train,38819.37879
13.9,76.1,train,225676.4165
13.9,76.2,train,263217.5223
13.9,76.3,train,235939.2949
13.9,76.4,train,98882.83244
13.9,76.5,train,189723.7909
13.9,76.6,train,246296.927
13.9,76.7,train,243231.6609
13.9,76.8,train,315807.3557
13.9,76.9,train,247311.1085
13.9,77,train,253825.4539
13.9,77.1,train,266891.9734
13.9,77.2,train,124322.5394
13.9,77.3,train,120083.9751
13.9,77.4,train,237856.806
13.9,77.5,train,306481.3509
13.9,77.6,train,128768.2543
13.9,77.7,train,313217.2991
13.9,77.8,train,307287.1358
13.9,77.9,train,291836.0262
13.9,78,train,325387.46
13.9,78.1,train,45376.20162
13.9,78.2,train,335054.8007
13.9,78.3,train,174210.1297
13.9,78.4,train,21316.88133
14,75,train,307250.8109
14,75.1,train,152710.7615
14,75.2,train,175049.803
14,75.3,train,157051.12
14,75.4,train,260192.0772
14,75.5,train,206480.9787
14,75.6,train,242238.9926
14,75.7,train,174372.2483
14,75.8,train,272465.2982
14,75.9,train,141072.8359
14,76,train,192655.4793
14,76.1,train,222933.4889
14,76.2,train,201838.8311
14,76.3,train,191624.2423
14,76.4,train,227372.26
14,76.5,train,225916.938
14,76.6,train,303767.3481
14,76.7,train,259625.3564
14,76.8,train,248017.649
14,76.9,train,133276.2876
14,77,train,127616.3088
14,77.1,train,146307.8117
14,77.2,train,127256.2097
14,77.3,train,280348.1313
