Latitude,Longitude,rainfall,temperature,clay,sand,silt,river_distance,Elevation,Slope,Flood_Index,Flood_Score
12.3,75.1,10.67827397,26.88180822,310,423,260,38373.85679,11,89.96816254,0.7609045468525706,3
12.3,75.2,10.67827397,26.88180822,308,481,211,29643.38253,69,89.99475861,0.7490501942231783,3
12.3,75.3,10.67827397,26.88180822,310,423,260,8537.491583,60,89.99832153,0.7643899069687168,3
12.3,75.4,7.83690411,23.51619178,310,423,260,119397.536,57,89.98575592,0.619955657967493,3
12.3,75.5,7.83690411,23.51619178,343,454,203,33718.01135,400,89.9989624,0.6049816732869261,3
12.3,75.6,7.83690411,23.51619178,310,423,260,53690.77402,1115,89.99794006,0.5147948910829638,3
12.3,75.7,7.83690411,23.51619178,310,423,260,61293.33577,891,89.9983139,0.5390337382582526,3
12.3,75.8,7.83690411,23.51619178,310,423,260,69389.62721,859,89.99557495,0.5403019705071452,3
12.3,75.9,7.83690411,23.51619178,305,384,311,57470.50896,959,89.99629211,0.5377352995745402,3
12.3,76.0,4.984246575,22.84419178,302,404,293,77834.60085,951,89.99249268,0.4187283127240513,3
12.3,76.1,4.984246575,22.84419178,309,403,288,62661.4989,866,89.99227142,0.43437990264575677,3
12.3,76.2,4.984246575,22.84419178,310,423,260,235219.2848,819,89.99375153,0.38256641963017374,2
12.3,76.3,4.984246575,22.84419178,316,400,284,153345.9491,801,89.9899292,0.4146470248315479,3
12.3,76.4,4.984246575,22.84419178,310,423,260,112920.7545,805,89.99204254,0.4225985327060308,3
12.3,76.5,4.984246575,22.84419178,342,365,293,103336.8839,821,89.96816254,0.43496889127932037,3
12.3,76.6,4.696109589,23.84473973,320,384,296,74681.91371,756,89.99227142,0.4360586746467439,3
12.3,76.7,4.696109589,23.84473973,0,0,0,115891.1931,774,89.99116516,0.36729531858125464,2
12.3,76.8,4.696109589,23.84473973,303,402,295,46537.18157,692,89.98937988,0.4486178433372243,3
12.3,76.9,4.696109589,23.84473973,331,422,247,145382.7561,748,89.99892426,0.41043180010707253,2
12.3,77.0,4.696109589,23.84473973,368,337,295,168958.6023,668,89.99116516,0.4273740225950701,3
12.3,77.1,4.696109589,23.84473973,352,343,305,117593.146,627,89.98407745,0.4462396154750693,3
12.3,77.2,3.90090411,23.8090411,279,433,288,85861.43076,502,89.99860382,0.421797898979124,3
12.3,77.3,3.90090411,23.8090411,340,400,260,177025.5377,388,0.0,0.5662868742675895,3
12.3,77.4,3.90090411,23.8090411,300,403,297,72421.12294,528,89.99362946,0.4288061535703649,3
12.3,77.5,3.90090411,23.8090411,312,412,276,176069.0916,492,89.99921417,0.40028481372111596,2
12.3,77.6,3.90090411,23.8090411,309,417,274,187918.748,599,89.98575592,0.3829336673808246,2
12.3,77.7,3.90090411,23.8090411,317,386,297,73094.72512,457,89.99675751,0.4407713175306497,3
12.3,77.8,3.90090411,23.8090411,318,435,248,226629.4917,847,89.99812317,0.339602783945106,1
12.3,77.9,4.535123288,24.19769863,322,405,273,186974.6115,987,89.9984436,0.3643752738523612,2
12.3,78.0,4.535123288,24.19769863,324,397,278,91708.76382,525,89.97748566,0.45040113150879113,3
12.3,78.1,4.535123288,24.19769863,331,394,276,251760.3452,485,89.96816254,0.40610999986583163,2
12.3,78.2,4.535123288,24.19769863,289,414,297,216361.7697,456,89.9899292,0.4143547642267024,3
12.3,78.3,4.535123288,24.19769863,329,355,315,260197.5873,417,89.97748566,0.41662531034344374,3
12.3,78.4,4.535123288,24.19769863,298,392,310,117817.8837,435,89.99204254,0.45154866742305266,3
12.4,75.0,10.67827397,26.88180822,0,0,0,24405.15017,0,0.0,0.8696429676193519,3
12.4,75.1,10.67827397,26.88180822,335,463,202,55491.82988,85,89.99407959,0.7437344616604084,3
12.4,75.2,10.67827397,26.88180822,311,503,187,135924.0103,124,89.99733734,0.70643560824599,3
12.4,75.3,10.67827397,26.88180822,319,456,224,166812.1959,482,89.99932861,0.6612099810612747,3
12.4,75.4,7.83690411,23.51619178,317,431,252,219135.5852,793,89.99855042,0.5011903191625117,3
12.4,75.5,7.83690411,23.51619178,320,406,274,62056.49773,1080,89.99811554,0.5200722556816312,3
12.4,75.6,7.83690411,23.51619178,301,378,321,87054.88795,1260,89.9982605,0.49318385429023265,3
12.4,75.7,7.83690411,23.51619178,335,406,259,55220.44777,917,89.99726868,0.5428100170136992,3
12.4,75.8,7.83690411,23.51619178,295,422,283,207803.3726,1030,89.99855042,0.4760401976708421,3
12.4,75.9,7.83690411,23.51619178,305,412,283,216619.0523,865,89.99591827,0.4950924088424898,3
12.4,76.0,4.984246575,22.84419178,298,394,307,61106.64603,882,89.99116516,0.43324429769140843,3
12.4,76.1,4.984246575,22.84419178,300,430,270,70420.91422,883,89.98937988,0.42544712107852506,3
12.4,76.2,4.984246575,22.84419178,307,449,243,75564.9568,867,89.99227142,0.4235772090724943,3
12.4,76.3,4.984246575,22.84419178,329,428,242,71168.29517,822,89.99362946,0.43500736634403897,3
12.4,76.4,4.984246575,22.84419178,319,417,264,157673.3087,776,89.9899292,0.41414211199032747,3
12.4,76.5,4.984246575,22.84419178,328,419,253,187386.7757,780,89.99362946,0.4047921282799209,2
12.4,76.6,4.696109589,23.84473973,316,407,277,104134.2671,722,89.9899292,0.4273435021714177,3
12.4,76.7,4.696109589,23.84473973,346,351,303,131297.8626,675,89.99452972,0.4346188842099067,3
12.4,76.8,4.696109589,23.84473973,373,340,287,120169.0252,675,89.97748566,0.4418592245755132,3
12.4,76.9,4.696109589,23.84473973,351,355,294,118945.6191,706,89.96816254,0.4347032010977801,3
12.4,77.0,4.696109589,23.84473973,373,345,282,121682.878,649,89.98937988,0.44375999454619564,3
12.4,77.1,4.696109589,23.84473973,350,360,290,57633.32628,614,89.98407745,0.46406942981612564,3
12.4,77.2,3.90090411,23.8090411,331,376,294,199427.1778,589,89.99288177,0.3880651413307797,2
12.4,77.3,3.90090411,23.8090411,305,453,242,118315.8303,717,89.99738312,0.3853958575113434,2
12.4,77.4,3.90090411,23.8090411,329,431,240,176281.6275,612,89.99204254,0.3847068656877799,2
12.4,77.5,3.90090411,23.8090411,311,435,255,197098.387,678,89.99375153,0.36839285175585806,2
12.4,77.6,3.90090411,23.8090411,338,405,257,198717.8058,719,89.99654388,0.3692870809977193,2
12.4,77.7,3.90090411,23.8090411,318,423,259,116176.606,637,89.99362946,0.40080643342553385,2
12.4,77.8,3.90090411,23.8090411,324,440,236,267307.7238,835,89.99116516,0.32799108567328245,1
12.4,77.9,4.535123288,24.19769863,360,372,268,30492.83706,1108,89.99288177,0.40676238465148934,2
12.4,78.0,4.535123288,24.19769863,317,413,271,143248.0282,584,89.99227142,0.4245661984910774,3
12.4,78.1,4.535123288,24.19769863,339,424,236,216234.3178,648,89.98575592,0.39416955554541366,2
12.4,78.2,4.535123288,24.19769863,301,406,293,286662.0918,481,89.98575592,0.39142295968946406,2
12.4,78.3,4.535123288,24.19769863,289,432,279,241796.7616,463,89.99288177,0.4030374063773001,2
12.4,78.4,4.535123288,24.19769863,294,395,311,112071.7562,408,89.9899292,0.4558222830852328,3
12.5,75.0,10.67827397,26.88180822,342,428,229,59497.2272,-2,89.99820709,0.7581629530982351,3
12.5,75.1,10.67827397,26.88180822,315,471,214,119906.8381,93,89.99524689,0.7198389960434332,3
12.5,75.2,10.67827397,26.88180822,298,490,211,169539.3,210,89.99761963,0.6862570440305527,3
12.5,75.3,10.67827397,26.88180822,324,490,185,95932.8771,169,89.99771118,0.7163315168641925,3
12.5,75.4,7.83690411,23.51619178,255,536,210,78459.03217,236,89.99846649,0.5919809452307662,3
12.5,75.5,7.83690411,23.51619178,257,589,154,46250.76003,188,89.99823761,0.6005063273186856,3
12.5,75.6,7.83690411,23.51619178,367,447,186,113107.3217,580,89.99848175,0.5616046671670395,3
12.5,75.7,7.83690411,23.51619178,321,396,283,56909.92666,1044,89.99288177,0.527445261136532,3
12.5,75.8,7.83690411,23.51619178,335,410,254,43319.45497,1012,89.9949646,0.534618662627827,3
12.5,75.9,7.83690411,23.51619178,303,402,295,88273.39982,907,89.99604797,0.5315896481930316,3
12.5,76.0,4.984246575,22.84419178,326,432,242,123226.6779,865,89.96816254,0.41288971688681414,3
12.5,76.1,4.984246575,22.84419178,326,411,263,81421.42801,896,89.9899292,0.4252015154831855,3
12.5,76.2,4.984246575,22.84419178,310,421,269,97163.70382,832,89.99227142,0.42517747478037005,3
12.5,76.3,4.984246575,22.84419178,312,435,253,77692.75923,780,89.98575592,0.43569389190514646,3
12.5,76.4,4.984246575,22.84419178,361,374,266,112369.4056,761,89.9899292,0.4396036253929914,3
12.5,76.5,4.984246575,22.84419178,319,415,267,114678.7264,782,89.99288177,0.4272705221755364,3
12.5,76.6,4.696109589,23.84473973,313,410,277,101007.0519,768,89.98575592,0.42220348130541197,3
12.5,76.7,4.696109589,23.84473973,354,392,254,120012.7776,728,89.96816254,0.42685528355408753,3
12.5,76.8,4.696109589,23.84473973,330,384,286,35774.60642,731,89.9899292,0.45205124234674143,3
12.5,76.9,4.696109589,23.84473973,363,345,292,161450.2293,669,0.0,0.5780792468600859,3
12.5,77.0,4.696109589,23.84473973,357,356,287,139804.313,655,89.98575592,0.4345404566244125,3
12.5,77.1,4.696109589,23.84473973,387,349,264,59261.59324,619,89.9899292,0.4674872991841311,3
12.5,77.2,3.90090411,23.8090411,350,378,272,142074.4666,628,89.98937988,0.4026107197313354,2
12.5,77.3,3.90090411,23.8090411,316,452,232,58621.07742,740,89.99544525,0.40242373446995966,2
12.5,77.4,3.90090411,23.8090411,342,434,225,192457.5537,644,89.9949646,0.3765437516782854,2
12.5,77.5,3.90090411,23.8090411,307,428,265,172397.8399,749,89.99853516,0.368261426758841,2
12.5,77.6,3.90090411,23.8090411,336,411,253,193517.0553,854,89.9899292,0.3538874396252336,1
12.5,77.7,3.90090411,23.8090411,312,426,262,190309.4714,924,89.98407745,0.34255018949702676,1
12.5,77.8,3.90090411,23.8090411,347,390,262,194928.3872,868,89.99375153,0.35550465576674634,1
12.5,77.9,4.535123288,24.19769863,343,434,223,109303.5927,698,89.99726868,0.42076791669427993,3
12.5,78.0,4.535123288,24.19769863,325,424,251,251240.5417,689,89.9899292,0.3772522869093015,2
12.5,78.1,4.535123288,24.19769863,297,433,270,63437.9006,555,0.0,0.5985536477956682,3
12.5,78.2,4.535123288,24.19769863,288,425,287,98652.53603,529,89.99690247,0.44098216732368944,3
12.5,78.3,4.535123288,24.19769863,308,403,289,104138.4549,484,89.98575592,0.449309571596222,3
