Latitude,Longitude,rainfall,temperature
13,76.5,4.766657534,22.55665753
13,76.6,5.246410959,23.40358904
13,76.7,5.246410959,23.40358904
13,76.8,5.246410959,23.40358904
13,76.9,5.246410959,23.40358904
13,77,5.246410959,23.40358904
13,77.1,5.246410959,23.40358904
13,77.2,4.19369863,23.14410959
13,77.3,4.19369863,23.14410959
13,77.4,4.19369863,23.14410959
13,77.5,4.19369863,23.14410959
13,77.6,4.19369863,23.14410959
13,77.7,4.19369863,23.14410959
13,77.8,4.19369863,23.14410959
13,77.9,5.071890411,23.18934247
13,78,5.071890411,23.18934247
13,78.1,5.071890411,23.18934247
13,78.2,5.071890411,23.18934247
13,78.3,5.071890411,23.18934247
13,78.4,5.071890411,23.18934247
13.1,75,11.0450411,26.49967123
13.1,75.1,11.0450411,26.49967123
13.1,75.2,11.0450411,26.49967123
13.1,75.3,11.0450411,26.49967123
13.1,75.4,7.129835616,23.02832877
13.1,75.5,7.129835616,23.02832877
13.1,75.6,7.129835616,23.02832877
13.1,75.7,7.129835616,23.02832877
13.1,75.8,7.129835616,23.02832877
13.1,75.9,7.129835616,23.02832877
13.1,76,4.766657534,22.55665753
13.1,76.1,4.766657534,22.55665753
13.1,76.2,4.766657534,22.55665753
13.1,76.3,4.766657534,22.55665753
13.1,76.4,4.766657534,22.55665753
13.1,76.5,4.766657534,22.55665753
13.1,76.6,5.246410959,23.40358904
13.1,76.7,5.246410959,23.40358904
13.1,76.8,5.246410959,23.40358904
13.1,76.9,5.246410959,23.40358904
13.1,77,5.246410959,23.40358904
13.1,77.1,5.246410959,23.40358904
13.1,77.2,4.19369863,23.14410959
13.1,77.3,4.19369863,23.14410959
13.1,77.4,4.19369863,23.14410959
13.1,77.5,4.19369863,23.14410959
13.1,77.6,4.19369863,23.14410959
13.1,77.7,4.19369863,23.14410959
13.1,77.8,4.19369863,23.14410959
13.1,77.9,5.071890411,23.18934247
13.1,78,5.071890411,23.18934247
13.1,78.1,5.071890411,23.18934247
13.1,78.2,5.071890411,23.18934247
13.1,78.3,5.071890411,23.18934247
13.1,78.4,5.071890411,23.18934247
13.2,75,11.0450411,26.49967123
13.2,75.1,11.0450411,26.49967123
13.2,75.2,11.0450411,26.49967123
13.2,75.3,11.0450411,26.49967123
13.2,75.4,7.129835616,23.02832877
13.2,75.5,7.129835616,23.02832877
13.2,75.6,7.129835616,23.02832877
13.2,75.7,7.129835616,23.02832877
13.2,75.8,7.129835616,23.02832877
13.2,75.9,7.129835616,23.02832877
13.2,76,4.766657534,22.55665753
13.2,76.1,4.766657534,22.55665753
13.2,76.2,4.766657534,22.55665753
13.2,76.3,4.766657534,22.55665753
13.2,76.4,4.766657534,22.55665753
13.2,76.5,4.766657534,22.55665753
13.2,76.6,5.246410959,23.40358904
13.2,76.7,5.246410959,23.40358904
13.2,76.8,5.246410959,23.40358904
13.2,76.9,5.246410959,23.40358904
13.2,77,5.246410959,23.40358904
13.2,77.1,5.246410959,23.40358904
13.2,77.2,4.19369863,23.14410959
13.2,77.3,4.19369863,23.14410959
13.2,77.4,4.19369863,23.14410959
13.2,77.5,4.19369863,23.14410959
13.2,77.6,4.19369863,23.14410959
13.2,77.7,4.19369863,23.14410959
13.2,77.8,4.19369863,23.14410959
13.2,77.9,5.071890411,23.18934247
13.2,78,5.071890411,23.18934247
13.2,78.1,5.071890411,23.18934247
13.2,78.2,5.071890411,23.18934247
13.2,78.3,5.071890411,23.18934247
13.2,78.4,5.071890411,23.18934247
13.3,75,10.30813699,25.14427397
13.3,75.1,10.30813699,25.14427397
13.3,75.2,10.30813699,25.14427397
13.3,75.3,10.30813699,25.14427397
13.3,75.4,5.685123288,22.18046575
13.3,75.5,5.685123288,22.18046575
13.3,75.6,5.685123288,22.18046575
13.3,75.7,5.685123288,22.18046575
13.3,75.8,5.685123288,22.18046575
13.3,75.9,5.685123288,22.18046575
13.3,76,3.912630137,23.08761644
13.3,76.1,3.912630137,23.08761644
13.3,76.2,3.912630137,23.08761644
13.3,76.3,3.912630137,23.08761644
13.3,76.4,3.912630137,23.08761644
13.3,76.5,3.912630137,23.08761644
13.3,76.6,4.485178082,23.57408219
13.3,76.7,4.485178082,23.57408219
13.3,76.8,4.485178082,23.57408219
13.3,76.9,4.485178082,23.57408219
13.3,77,4.485178082,23.57408219
13.3,77.1,4.485178082,23.57408219
13.3,77.2,3.664082192,23.44876712
13.3,77.3,3.664082192,23.44876712
13.3,77.4,3.664082192,23.44876712
13.3,77.5,3.664082192,23.44876712
13.3,77.6,3.664082192,23.44876712
13.3,77.7,3.664082192,23.44876712
13.3,77.8,3.664082192,23.44876712
13.3,77.9,4.353643836,23.32747945
13.3,78,4.353643836,23.32747945
13.3,78.1,4.353643836,23.32747945
13.3,78.2,4.353643836,23.32747945
13.3,78.3,4.353643836,23.32747945
13.3,78.4,4.353643836,23.32747945
13.4,75,10.30813699,25.14427397
13.4,75.1,10.30813699,25.14427397
13.4,75.2,10.30813699,25.14427397
13.4,75.3,10.30813699,25.14427397
13.4,75.4,5.685123288,22.18046575
13.4,75.5,5.685123288,22.18046575
13.4,75.6,5.685123288,22.18046575
13.4,75.7,5.685123288,22.18046575
13.4,75.8,5.685123288,22.18046575
13.4,75.9,5.685123288,22.18046575
13.4,76,3.912630137,23.08761644
13.4,76.1,3.912630137,23.08761644
13.4,76.2,3.912630137,23.08761644
13.4,76.3,3.912630137,23.08761644
13.4,76.4,3.912630137,23.08761644
13.4,76.5,3.912630137,23.08761644
13.4,76.6,4.485178082,23.57408219
13.4,76.7,4.485178082,23.57408219
13.4,76.8,4.485178082,23.57408219
13.4,76.9,4.485178082,23.57408219
13.4,77,4.485178082,23.57408219
13.4,77.1,4.485178082,23.57408219
13.4,77.2,3.664082192,23.44876712
13.4,77.3,3.664082192,23.44876712
13.4,77.4,3.664082192,23.44876712
13.4,77.5,3.664082192,23.44876712
13.4,77.6,3.664082192,23.44876712
13.4,77.7,3.664082192,23.44876712
13.4,77.8,3.664082192,23.44876712
13.4,77.9,4.353643836,23.32747945
13.4,78,4.353643836,23.32747945
13.4,78.1,4.353643836,23.32747945
13.4,78.2,4.353643836,23.32747945
13.4,78.3,4.353643836,23.32747945
13.4,78.4,4.353643836,23.32747945
13.5,75,10.30813699,25.14427397
13.5,75.1,10.30813699,25.14427397
13.5,75.2,10.30813699,25.14427397
13.5,75.3,10.30813699,25.14427397
13.5,75.4,5.685123288,22.18046575
13.5,75.5,5.685123288,22.18046575
13.5,75.6,5.685123288,22.18046575
13.5,75.7,5.685123288,22.18046575
13.5,75.8,5.685123288,22.18046575
13.5,75.9,5.685123288,22.18046575
13.5,76,3.912630137,23.08761644
13.5,76.1,3.912630137,23.08761644
13.5,76.2,3.912630137,23.08761644
13.5,76.3,3.912630137,23.08761644
13.5,76.4,3.912630137,23.08761644
13.5,76.5,3.912630137,23.08761644
13.5,76.6,4.485178082,23.57408219
13.5,76.7,4.485178082,23.57408219
13.5,76.8,4.485178082,23.57408219
13.5,76.9,4.485178082,23.57408219
13.5,77,4.485178082,23.57408219
13.5,77.1,4.485178082,23.57408219
13.5,77.2,3.664082192,23.44876712
13.5,77.3,3.664082192,23.44876712
13.5,77.4,3.664082192,23.44876712
13.5,77.5,3.664082192,23.44876712
13.5,77.6,3.664082192,23.44876712
13.5,77.7,3.664082192,23.44876712
13.5,77.8,3.664082192,23.44876712
13.5,77.9,4.353643836,23.32747945
13.5,78,4.353643836,23.32747945
13.5,78.1,4.353643836,23.32747945
13.5,78.2,4.353643836,23.32747945
13.5,78.3,4.353643836,23.32747945
13.5,78.4,4.353643836,23.32747945
13.6,75,10.30813699,25.14427397
13.6,75.1,10.30813699,25.14427397
13.6,75.2,10.30813699,25.14427397
13.6,75.3,10.30813699,25.14427397
13.6,75.4,5.685123288,22.18046575
13.6,75.5,5.685123288,22.18046575
13.6,75.6,5.685123288,22.18046575
13.6,75.7,5.685123288,22.18046575
13.6,75.8,5.685123288,22.18046575
13.6,75.9,5.685123288,22.18046575
13.6,76,3.912630137,23.08761644
13.6,76.1,3.912630137,23.08761644
13.6,76.2,3.912630137,23.08761644
13.6,76.3,3.912630137,23.08761644
13.6,76.4,3.912630137,23.08761644
13.6,76.5,3.912630137,23.08761644
13.6,76.6,4.485178082,23.57408219
13.6,76.7,4.485178082,23.57408219
13.6,76.8,4.485178082,23.57408219
13.6,76.9,4.485178082,23.57408219
13.6,77,4.485178082,23.57408219
13.6,77.1,4.485178082,23.57408219
13.6,77.2,3.664082192,23.44876712
13.6,77.3,3.664082192,23.44876712
13.6,77.4,3.664082192,23.44876712
13.6,77.5,3.664082192,23.44876712
13.6,77.6,3.664082192,23.44876712
13.6,77.7,3.664082192,23.44876712
13.6,77.8,3.664082192,23.44876712
13.6,77.9,4.353643836,23.32747945
